id	state_id	name	created_at	updated_at
299	9	Megousse	2024-02-13 19:35:17	2024-02-13 19:35:17
300	8	Ouarzazate	2024-02-13 19:35:17	2024-02-13 19:35:17
301	9	Oulad Berhil	2024-02-13 19:35:17	2024-02-13 19:35:17
302	9	Oulad Teïma	2024-02-13 19:35:17	2024-02-13 19:35:17
303	8	Sarghine	2024-02-13 19:35:17	2024-02-13 19:35:17
304	10	Sidi Ifni	2024-02-13 19:35:17	2024-02-13 19:35:17
305	8	Skoura	2024-02-13 19:35:17	2024-02-13 19:35:17
306	8	Tabounte	2024-02-13 19:35:17	2024-02-13 19:35:17
307	9	Tafraout	2024-02-13 19:35:17	2024-02-13 19:35:17
308	1	Taghzout	2024-02-13 19:35:17	2024-02-13 19:35:17
309	9	Tagzen	2024-02-13 19:35:17	2024-02-13 19:35:17
310	9	Taliouine	2024-02-13 19:35:17	2024-02-13 19:35:17
311	8	Tamegroute	2024-02-13 19:35:17	2024-02-13 19:35:17
312	9	Tamraght	2024-02-13 19:35:17	2024-02-13 19:35:17
313	8	Tanoumrite Nkob Zagora	2024-02-13 19:35:17	2024-02-13 19:35:17
314	8	Taourirt ait zaghar	2024-02-13 19:35:17	2024-02-13 19:35:17
315	9	Taroudannt	2024-02-13 19:35:17	2024-02-13 19:35:17
316	9	Temsia	2024-02-13 19:35:17	2024-02-13 19:35:17
317	9	Tifnit	2024-02-13 19:35:17	2024-02-13 19:35:17
318	9	Tisgdal	2024-02-13 19:35:17	2024-02-13 19:35:17
319	9	Tiznit	2024-02-13 19:35:17	2024-02-13 19:35:17
320	8	Toundoute	2024-02-13 19:35:17	2024-02-13 19:35:17
321	8	Zagora	2024-02-13 19:35:17	2024-02-13 19:35:17
322	5	Afourar	2024-02-13 19:35:17	2024-02-13 19:35:17
323	5	Aghbala	2024-02-13 19:35:17	2024-02-13 19:35:17
324	5	Azilal	2024-02-13 19:35:17	2024-02-13 19:35:17
325	5	Aït Majden	2024-02-13 19:35:17	2024-02-13 19:35:17
326	5	Beni Ayat	2024-02-13 19:35:17	2024-02-13 19:35:17
327	5	Béni Mellal	2024-02-13 19:35:17	2024-02-13 19:35:17
328	5	Bin elouidane	2024-02-13 19:35:17	2024-02-13 19:35:17
329	5	Bradia	2024-02-13 19:35:17	2024-02-13 19:35:17
